id,asignare,nume
1,examen1,Promoveaza examenul 1
2,examen2,Promoveaza examenul 2
3,lectia1,Parcurge lectia: Pronuntie
4,lectia2,Parcurge lectia: Buna
5,lectia3,Parcurge lectia: Adjective
6,lectia4,Parcurge lectia: Timpuri ale verbelor
7,lectia5,Parcurge lectia: Ce sau cine?
8,lectia6,Parcurge lectia: Forme de raspuns
9,lectia7,Parcurge lectia: Plural & Genuri
10,subiect1,Parcurge subiectul: Familie
11,subiect2,Parcurge subiectul: Transport & Directii
12,subiect3,Parcurge subiectul: Timp & Dati
13,subiect4,Parcurge subiectul: Parti ale corpului
14,subiect5,Parcurge subiectul: Culori, Anotimpuri & Fenomene ale naturii
15,subiect6,Parcurge subiectul: Fructe & Legume
